from,to,distance
0.0,1.0,9411.3
0.0,3.0,12383.1
0.0,4.0,13113.0
0.0,5.0,5507.499999999999
0.0,8.0,13150.300000000003
0.0,9.0,3945.5000000000005
0.0,10.0,3765.6000000000004
0.0,11.0,12382.2
0.0,13.0,11482.900000000001
0.0,15.0,13502.400000000003
0.0,18.0,1900.5
0.0,19.0,10949.699999999999
0.0,22.0,5064.400000000001
0.0,23.0,4744.6
0.0,25.0,13228.999999999996
0.0,26.0,11141.400000000001
0.0,27.0,9570.699999999999
0.0,28.0,1087.5
0.0,30.0,10130.299999999997
0.0,31.0,9570.5
0.0,32.0,4172.3
0.0,33.0,5360.599999999999
0.0,34.0,12358.200000000003
0.0,35.0,11896.000000000002
0.0,36.0,11863.700000000003
0.0,37.0,4368.900000000001
0.0,38.0,12922.0
0.0,39.0,8417.3
0.0,42.0,3573.8999999999996
0.0,43.0,2323.1
0.0,46.0,9406.9
0.0,47.0,11718.2
0.0,49.0,5511.900000000001
0.0,50.0,11429.4
0.0,51.0,11834.0
0.0,52.0,4000.6000000000004
0.0,54.0,11696.800000000003
0.0,55.0,2303.3999999999996
0.0,56.0,4326.599999999999
0.0,57.0,1378.1999999999998
0.0,58.0,3209.2999999999997
0.0,59.0,12639.400000000003
0.0,60.0,13316.1
0.0,61.0,10453.3
0.0,62.0,1422.6
0.0,64.0,13087.0
0.0,65.0,12507.0
0.0,66.0,12917.700000000003
0.0,67.0,9771.399999999998
0.0,68.0,1581.7999999999997
0.0,69.0,8755.4
0.0,70.0,9264.699999999999
0.0,71.0,2340.9
0.0,72.0,2252.3999999999996
0.0,73.0,5860.099999999999
0.0,74.0,4984.700000000001
0.0,75.0,4350.8
0.0,76.0,10476.9
0.0,78.0,12278.400000000003
0.0,80.0,2453.0
0.0,82.0,7699.2
0.0,84.0,4742.3
0.0,85.0,2968.6
0.0,86.0,12681.900000000001
0.0,87.0,5346.000000000001
0.0,88.0,2701.1
0.0,91.0,3576.5000000000005
0.0,92.0,398.0
0.0,93.0,5758.100000000001
0.0,94.0,10733.2
0.0,95.0,2732.4999999999995
0.0,96.0,3951.9999999999995
0.0,97.0,1618.9
0.0,98.0,9573.7
0.0,101.0,5087.6
0.0,102.0,14219.000000000002
0.0,103.0,3417.7
0.0,104.0,1977.2
0.0,108.0,3928.2000000000003
0.0,110.0,4112.299999999999
0.0,111.0,12648.800000000003
0.0,113.0,11061.699999999997
0.0,115.0,11453.400000000001
0.0,116.0,11454.600000000002
0.0,117.0,573.5
0.0,118.0,2772.7999999999997
0.0,119.0,9649.999999999998
0.0,120.0,10057.599999999999
0.0,121.0,4500.699999999999
0.0,122.0,9529.0
0.0,123.0,4027.5000000000005
0.0,124.0,10826.799999999997
0.0,125.0,11572.300000000003
0.0,126.0,14387.199999999997
0.0,127.0,2054.0
0.0,128.0,5164.799999999999
0.0,131.0,4492.4
0.0,132.0,3688.5999999999995
0.0,133.0,3325.3999999999996
0.0,135.0,11362.8
0.0,137.0,3674.8000000000006
0.0,140.0,15860.199999999999
0.0,141.0,8011.799999999999
0.0,142.0,12503.699999999995
0.0,143.0,2995.5999999999995
0.0,146.0,1841.3
0.0,148.0,5688.799999999999
0.0,150.0,6029.9
0.0,152.0,6384.4
0.0,154.0,5160.299999999999
0.0,155.0,15618.000000000002
0.0,156.0,15698.900000000001
0.0,157.0,15264.600000000002
0.0,158.0,14932.900000000001
0.0,159.0,12708.6
0.0,160.0,12274.1
0.0,161.0,11998.400000000003
0.0,162.0,11361.8
0.0,163.0,10748.900000000001
0.0,164.0,9358.099999999999
0.0,165.0,4679.6
0.0,166.0,3621.2999999999997
0.0,167.0,3202.1
0.0,168.0,3226.2
0.0,169.0,2476.2
0.0,170.0,1346.6
0.0,171.0,4748.0
0.0,173.0,945.9
0.0,174.0,11817.499999999996
0.0,175.0,6593.9
0.0,176.0,12162.399999999996
0.0,177.0,6233.299999999999
0.0,178.0,12921.899999999996
0.0,179.0,5606.499999999999
0.0,180.0,10575.599999999999
0.0,181.0,5693.599999999999
0.0,182.0,13896.499999999996
0.0,183.0,6257.4
0.0,184.0,6588.799999999999
0.0,185.0,6964.199999999999
0.0,186.0,15108.999999999998
0.0,187.0,15518.999999999998
0.0,188.0,7630.199999999999
0.0,189.0,16989.3
0.0,190.0,9037.4
0.0,191.0,17301.7
0.0,192.0,9358.1
0.0,193.0,17624.0
0.0,194.0,9717.0
0.0,195.0,17895.7
0.0,196.0,10017.5
0.0,197.0,18209.0
0.0,198.0,10282.3
0.0,199.0,18518.3
0.0,200.0,18836.0
0.0,201.0,6445.700000000001
0.0,203.0,3524.1
0.0,207.0,2935.7999999999997
0.0,208.0,2370.2
0.0,209.0,2360.9
0.0,210.0,7076.700000000001
0.0,211.0,6720.6
0.0,212.0,4853.3
0.0,213.0,5917.199999999999
0.0,214.0,10041.8
0.0,215.0,10049.2
0.0,216.0,9760.5
0.0,217.0,9760.9
0.0,218.0,10120.3
0.0,219.0,10120.5
0.0,220.0,6056.200000000001
0.0,221.0,5481.900000000001
0.0,223.0,2686.0999999999995
0.0,224.0,13949.5
0.0,225.0,13417.100000000002
0.0,226.0,4648.5
0.0,227.0,4627.8
0.0,229.0,13428.9
0.0,230.0,12071.2
0.0,231.0,12089.100000000002
0.0,232.0,13442.100000000004
0.0,234.0,8056.0
0.0,235.0,11158.600000000002
0.0,236.0,10380.7
0.0,238.0,10901.5
0.0,239.0,4303.6
0.0,240.0,3494.2000000000003
0.0,241.0,4332.200000000001
0.0,242.0,1110.6
0.0,243.0,1065.3
0.0,246.0,12800.7
0.0,247.0,12292.300000000003
0.0,248.0,13581.899999999996
0.0,249.0,12902.100000000002
0.0,250.0,9920.6
0.0,251.0,3064.7999999999997
0.0,252.0,9135.4
0.0,253.0,10440.899999999998
0.0,254.0,7296.699999999999
0.0,255.0,10573.499999999998
0.0,256.0,10560.8
0.0,259.0,3778.3999999999996
0.0,260.0,4119.0
0.0,261.0,4413.1
0.0,262.0,7450.1
0.0,263.0,4767.4
0.0,264.0,11042.300000000001
0.0,265.0,11376.400000000001
0.0,266.0,11037.4
0.0,267.0,13815.6
0.0,268.0,3073.9
0.0,269.0,3324.6999999999994
0.0,270.0,4524.6
0.0,271.0,1832.8999999999996
0.0,274.0,6950.9
0.0,278.0,8314.199999999999
0.0,279.0,16183.599999999999
0.0,280.0,16568.399999999998
0.0,281.0,14954.300000000001
0.0,282.0,15314.500000000002
0.0,283.0,14562.1
0.0,285.0,13851.200000000003
0.0,286.0,14549.100000000002
0.0,287.0,13440.1
0.0,288.0,14185.300000000001
0.0,289.0,8707.9
0.0,290.0,3686.6999999999994
0.0,293.0,5153.9
0.0,296.0,14754.799999999997
